Time [ms],Date,Time,Rel.Time [s],Id,Name,Priority Old,Priority New,Phrase,State Old,State New
1604669890381,2020-11-06,13:38:10.381,0,Respiratory rate > high limit,Respiratory rate > high limit,,29,RESP RATE HI,Unknown,Active
1604669925401,2020-11-06,13:38:45.401,35,Minute volume < low limit,Minute volume < low limit,,29,MIN VOL LOW ,Unknown,Active
1604669931385,2020-11-06,13:38:51.385,41,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604669964387,2020-11-06,13:39:24.387,74,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1604671038384,2020-11-06,13:57:18.384,1148,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604671051402,2020-11-06,13:57:31.402,1161,Volume not constant,Volume not constant,,6,VOL INCONST ,Unknown,Active
1604671051433,2020-11-06,13:57:31.433,1161,Tidal volume < low Limit,Tidal volume < low Limit,,20,TIDAL VOL LO,Unknown,Active
1604671053417,2020-11-06,13:57:33.417,1163,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604671054401,2020-11-06,13:57:34.401,1164,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604671059400,2020-11-06,13:57:39.400,1169,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1604671096402,2020-11-06,13:58:16.402,1206,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604671110386,2020-11-06,13:58:30.386,1220,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1604671449374,2020-11-06,14:04:09.374,1559,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604671452389,2020-11-06,14:04:12.389,1562,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604672304378,2020-11-06,14:18:24.378,2414,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604672305377,2020-11-06,14:18:25.377,2415,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604672340376,2020-11-06,14:19:00.376,2450,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604672352374,2020-11-06,14:19:12.374,2462,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604672773440,2020-11-06,14:26:13.440,2883,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604672780361,2020-11-06,14:26:20.361,2890,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604675054389,2020-11-06,15:04:14.389,5164,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604675106403,2020-11-06,15:05:06.403,5216,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604675142387,2020-11-06,15:05:42.387,5252,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604675145403,2020-11-06,15:05:45.403,5255,Disconnection ventilator,Disconnection ventilator,,30,DISCONNECT  ,Unknown,Active
1604675147387,2020-11-06,15:05:47.387,5257,Disconnection ventilator,Disconnection ventilator,30,-1,,Active,NotActive
1604675156379,2020-11-06,15:05:56.379,5266,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604675222388,2020-11-06,15:07:02.388,5332,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604675224404,2020-11-06,15:07:04.404,5334,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604675254392,2020-11-06,15:07:34.392,5364,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604675299379,2020-11-06,15:08:19.379,5409,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604675499394,2020-11-06,15:11:39.394,5609,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604675527375,2020-11-06,15:12:07.375,5637,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604675620380,2020-11-06,15:13:40.380,5730,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604675661395,2020-11-06,15:14:21.395,5771,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604675682377,2020-11-06,15:14:42.377,5792,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604675791402,2020-11-06,15:16:31.402,5901,Volume not constant,Volume not constant,-1,6,VOL INCONST ,NotActive,Active
1604675794386,2020-11-06,15:16:34.386,5904,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604675800404,2020-11-06,15:16:40.404,5910,Volume not constant,Volume not constant,-1,6,VOL INCONST ,NotActive,Active
1604675801404,2020-11-06,15:16:41.404,5911,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604675833374,2020-11-06,15:17:13.374,5943,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604675847404,2020-11-06,15:17:27.404,5957,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604675888404,2020-11-06,15:18:08.404,5998,Volume not constant,Volume not constant,-1,6,VOL INCONST ,NotActive,Active
1604675890435,2020-11-06,15:18:10.435,6000,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604675903418,2020-11-06,15:18:23.418,6013,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604675905386,2020-11-06,15:18:25.386,6015,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604675969382,2020-11-06,15:19:29.382,6079,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604676402387,2020-11-06,15:26:42.387,6512,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604676434404,2020-11-06,15:27:14.404,6544,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604676470390,2020-11-06,15:27:50.390,6580,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604676474389,2020-11-06,15:27:54.389,6584,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604676508377,2020-11-06,15:28:28.377,6618,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604676527381,2020-11-06,15:28:47.381,6637,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604676555381,2020-11-06,15:29:15.381,6665,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604676581396,2020-11-06,15:29:41.396,6691,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604676616389,2020-11-06,15:30:16.389,6726,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604676631404,2020-11-06,15:30:31.404,6741,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604676808379,2020-11-06,15:33:28.379,6918,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604676829376,2020-11-06,15:33:49.376,6939,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604676857380,2020-11-06,15:34:17.380,6967,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604676896383,2020-11-06,15:34:56.383,7006,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604681171435,2020-11-06,16:46:11.435,11281,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604681173404,2020-11-06,16:46:13.404,11283,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604682099381,2020-11-06,17:01:39.381,12209,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682100381,2020-11-06,17:01:40.381,12210,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682119395,2020-11-06,17:01:59.395,12229,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682124397,2020-11-06,17:02:04.397,12234,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682243381,2020-11-06,17:04:03.381,12353,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682245380,2020-11-06,17:04:05.380,12355,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682290388,2020-11-06,17:04:50.388,12400,Volume not constant,Volume not constant,-1,6,VOL INCONST ,NotActive,Active
1604682292419,2020-11-06,17:04:52.419,12402,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604682296388,2020-11-06,17:04:56.388,12406,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604682296404,2020-11-06,17:04:56.404,12406,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604682301387,2020-11-06,17:05:01.387,12411,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682340375,2020-11-06,17:05:40.375,12450,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682362390,2020-11-06,17:06:02.390,12472,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682395385,2020-11-06,17:06:35.385,12505,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682406388,2020-11-06,17:06:46.388,12516,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682408387,2020-11-06,17:06:48.387,12518,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682439379,2020-11-06,17:07:19.379,12549,Volume not constant,Volume not constant,-1,6,VOL INCONST ,NotActive,Active
1604682441427,2020-11-06,17:07:21.427,12551,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604682446380,2020-11-06,17:07:26.380,12556,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604682446411,2020-11-06,17:07:26.411,12556,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604682456395,2020-11-06,17:07:36.395,12566,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682493379,2020-11-06,17:08:13.379,12603,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682552395,2020-11-06,17:09:12.395,12662,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682586367,2020-11-06,17:09:46.367,12696,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682609394,2020-11-06,17:10:09.394,12719,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682646400,2020-11-06,17:10:46.400,12756,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682657384,2020-11-06,17:10:57.384,12767,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682661388,2020-11-06,17:11:01.388,12771,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682723414,2020-11-06,17:12:03.414,12833,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604682725414,2020-11-06,17:12:05.414,12835,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604682755400,2020-11-06,17:12:35.400,12865,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682771381,2020-11-06,17:12:51.381,12881,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682786379,2020-11-06,17:13:06.379,12896,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682792362,2020-11-06,17:13:12.362,12902,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682830387,2020-11-06,17:13:50.387,12940,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682849380,2020-11-06,17:14:09.380,12959,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682874379,2020-11-06,17:14:34.379,12984,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682883377,2020-11-06,17:14:43.377,12993,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682899392,2020-11-06,17:14:59.392,13009,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682902380,2020-11-06,17:15:02.380,13012,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604682967384,2020-11-06,17:16:07.384,13077,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604682977389,2020-11-06,17:16:17.389,13087,Volume not constant,Volume not constant,-1,6,VOL INCONST ,NotActive,Active
1604682981409,2020-11-06,17:16:21.409,13091,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604682994376,2020-11-06,17:16:34.376,13104,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604682994407,2020-11-06,17:16:34.407,13104,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604683005391,2020-11-06,17:16:45.391,13115,Volume not constant,Volume not constant,-1,6,VOL INCONST ,NotActive,Active
1604683008408,2020-11-06,17:16:48.408,13118,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604683010391,2020-11-06,17:16:50.391,13120,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604683011407,2020-11-06,17:16:51.407,13121,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604683047366,2020-11-06,17:17:27.366,13157,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604683056401,2020-11-06,17:17:36.401,13166,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604683058401,2020-11-06,17:17:38.401,13168,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604683063400,2020-11-06,17:17:43.400,13173,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604683081398,2020-11-06,17:18:01.398,13191,Volume not constant,Volume not constant,-1,6,VOL INCONST ,NotActive,Active
1604683082404,2020-11-06,17:18:02.404,13192,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604683082404,2020-11-06,17:18:02.404,13192,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604683097387,2020-11-06,17:18:17.387,13207,Volume not constant,Volume not constant,-1,6,VOL INCONST ,NotActive,Active
1604683097419,2020-11-06,17:18:17.419,13207,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604683099406,2020-11-06,17:18:19.406,13209,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604683100390,2020-11-06,17:18:20.390,13210,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604683103374,2020-11-06,17:18:23.374,13213,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604683139360,2020-11-06,17:18:59.360,13249,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604683196376,2020-11-06,17:19:56.376,13306,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604683234379,2020-11-06,17:20:34.379,13344,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604683239386,2020-11-06,17:20:39.386,13349,Volume not constant,Volume not constant,-1,6,VOL INCONST ,NotActive,Active
1604683241432,2020-11-06,17:20:41.432,13351,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604683242385,2020-11-06,17:20:42.385,13352,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604683242416,2020-11-06,17:20:42.416,13352,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604683265381,2020-11-06,17:21:05.381,13375,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604683272381,2020-11-06,17:21:12.381,13382,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604683321389,2020-11-06,17:22:01.389,13431,Volume not constant,Volume not constant,-1,6,VOL INCONST ,NotActive,Active
1604683322388,2020-11-06,17:22:02.388,13432,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604683350383,2020-11-06,17:22:30.383,13460,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604683360383,2020-11-06,17:22:40.383,13470,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604683469377,2020-11-06,17:24:29.377,13579,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604683486395,2020-11-06,17:24:46.395,13596,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604683513404,2020-11-06,17:25:13.404,13623,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604683521387,2020-11-06,17:25:21.387,13631,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604683543385,2020-11-06,17:25:43.385,13653,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604683568386,2020-11-06,17:26:08.386,13678,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604683648382,2020-11-06,17:27:28.382,13758,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604683759376,2020-11-06,17:29:19.376,13869,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604683775389,2020-11-06,17:29:35.389,13885,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1604683843381,2020-11-06,17:30:43.381,13953,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1604683864409,2020-11-06,17:31:04.409,13974,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604683865393,2020-11-06,17:31:05.393,13975,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604683877379,2020-11-06,17:31:17.379,13987,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
